ACBEEDBCAEECDBBAEBCDEBEDBACCAB
ABCECBACEBCEDBACDBECADECCCBEDA
sait,ACBEEDBCAEECDBBAEBCDEBEDBACCAB,ABCECBACEBCEDBACDBECADECCCBEDA,ANK
OSMAN YILDIRIM,DAACCCDBDE EBDEDEBDCCCDCBCD C ,EAEABAEEDDC BAADEDECEBBCCBECED,IZM IST ANK
MUSTAFA MAVI,CEE CBC DDBCCBEDACEBEEABDCA CE,CDEEEDB B DCEDBEDAAEDEAA CEDBC,IZM IST ANK
ISMAIL KUCUKCELEBI,A CCE BE EABDDAAEBCCCEBBBEAADC, CBDDCAACAEBDBBDEEDEAAAEACBADC,ANK IZM IST
EKREM DUMANSIZ,ACEEDA BECBDDAAC EAEEBCAB E  A,EEACBBCABDBBABEBEAB CAEAADCCDE,ANK IZM IST
ATI ALAN USKUDAR,DACEDCBDDBAC EEBDDCECEDBCAEC B,BBCEDBCADEDECEDCEDCEBDCECEDBEE,ANK IZM IST
ATI CALAN USKUDAR, DBBABDDAAEDDBDDCEBCEEDABBCBDE,BEDBACABEECBDECCCECBCEAA EEDDB,ANK IZM IST
INGILIZ MEHMET,DAA AD ADCBCBDDCECCDADCBBEDCBD,CBCEBDAADABCDDBEBDBBCAEEACBDAC,ANK IZM IST
JAPON AHMET,BBEEBABAC ACDDADDEBADEADADDEEB,EBE C EEBDEEDDEDCBABDEDEEAEE C,ANK IZM IST
KARAGOZ,CBAABCBABCEDDBBCBACAEACCCBCDBA,E ADD EBEDDDDCECEEDDEADAAEEDBD,IZM IST ANK
TUZSUZ DELI BEKIR,AA EBAABEEBDBCABCEEEBCEAE DBAC,BBDBBBCBBBACBAEBB EABBBAADED A,ANK IZM IST
TUZLU AKILLI BEKIR,CEBBEBAEEBCCBEBBBBEEAEDEECAEAA,E BDCAACADACADDDECCCCCDEBBBDCE,IZM IST ANK
KARAGOZ,CBAABCBABCEDDBBCBACAEACCCBCDBA,E ADD EBEDDDDCECEEDDEADAAEEDBD,IZM IST ANK
